M,bits_per_symbol,p_loss,p_confuse,correct_rate,erasure_rate,symbol_error_rate,throughput_proxy,mode
128,7.0,0.01,0.1,0.891,0.01,0.099,6.237,analytical
128,7.0,0.01,0.2,0.792,0.01,0.198,5.544,analytical
128,7.0,0.05,0.0,0.95,0.05,0.0,6.65,analytical
128,7.0,0.05,0.01,0.9405,0.05,0.0095,6.5835,analytical
128,7.0,0.05,0.05,0.9025,0.05,0.0475,6.3175,analytical
128,7.0,0.05,0.1,0.855,0.05,0.095,5.985,analytical
128,7.0,0.05,0.2,0.76,0.05,0.19,5.32,analytical
128,7.0,0.1,0.0,0.9,0.1,0.0,6.3,analytical
128,7.0,0.1,0.01,0.891,0.1,0.009,6.237,analytical
128,7.0,0.1,0.05,0.855,0.1,0.045,5.985,analytical
128,7.0,0.1,0.1,0.81,0.1,0.09,5.67,analytical
128,7.0,0.1,0.2,0.72,0.1,0.18,5.04,analytical
